game_id,period,time_remaining,team,player,play,away_score,home_score
2026-01-08_washington_michigan_st,1,04:59,Michigan St.,"LADINE,ELLE","GOOD 3PTR by LADINE,ELLE",9,13
2026-01-08_washington_michigan_st,1,04:59,Michigan St.,"STINES,HANNAH","ASSIST by STINES,HANNAH",,
2026-01-08_washington_michigan_st,1,04:48,Washington,"SAMBOLIC,SARA","MISS LAYUP by SAMBOLIC,SARA",,
2026-01-08_washington_michigan_st,1,04:48,Michigan St.,"MCGAUGHY,BRYNN","BLOCK by MCGAUGHY,BRYNN",,
2026-01-08_washington_michigan_st,1,04:47,Washington,"VANSLOOTEN,GRACE","REBOUND OFF by VANSLOOTEN,GRACE",,
2026-01-08_washington_michigan_st,1,04:47,Washington,,Timeout,,
2026-01-08_washington_michigan_st,1,04:47,Michigan St.,"SELLERS,SAYVIA","SUB OUT by SELLERS,SAYVIA",,
2026-01-08_washington_michigan_st,1,04:47,Michigan St.,"COPPINGER,DEVIN","SUB IN by COPPINGER,DEVIN",,
2026-01-08_washington_michigan_st,1,04:44,Washington,"VANSLOOTEN,GRACE","GOOD JUMPER by VANSLOOTEN,GRACE",11,13
2026-01-08_washington_michigan_st,1,04:44,Washington,"BLAIR,KENNEDY","ASSIST by BLAIR,KENNEDY",,
2026-01-08_washington_michigan_st,1,04:17,Washington,"SHUMATE,EMMA","FOUL by SHUMATE,EMMA",,
2026-01-08_washington_michigan_st,1,04:17,Michigan St.,"MCGAUGHY,BRYNN","SUB OUT by MCGAUGHY,BRYNN",,
2026-01-08_washington_michigan_st,1,04:17,Michigan St.,"GRABOVSKAIA,YULIA","SUB IN by GRABOVSKAIA,YULIA",,
2026-01-08_washington_michigan_st,1,04:17,Michigan St.,"STINES,HANNAH","GOOD FT by STINES,HANNAH",11,14
2026-01-08_washington_michigan_st,1,04:17,Michigan St.,"STINES,HANNAH","GOOD FT by STINES,HANNAH",11,15
2026-01-08_washington_michigan_st,1,04:04,Washington,"WOODARD,JULIANN","GOOD 3PTR by WOODARD,JULIANN",14,15
2026-01-08_washington_michigan_st,1,04:04,Washington,"SHUMATE,EMMA","ASSIST by SHUMATE,EMMA",,
2026-01-08_washington_michigan_st,1,03:54,Michigan St.,"STINES,HANNAH","GOOD LAYUP by STINES,HANNAH",14,17
2026-01-08_washington_michigan_st,1,03:46,Michigan St.,"COPPINGER,DEVIN","FOUL by COPPINGER,DEVIN",,
